title,description,cost,license,app_type,origin,platform,supported_languages
Zenless Zone Zero,"Zenless Zone Zero is an action role-playing game. The player assumes the role of a Proxy (the protagonist known as Wise or Belle), a character who helps others explore the hostile alternate dimensions called Hollows.",Freemium (Pay once),Proprietary,"Role-playing Game, Adventure Game",China,"Windows, Android, iPhone, Android Tablet, iPad, Epic Games Store, Playstation","English, French, Chinese, Indonesian, Japanese, Korean, Spanish, Thai, German, Portuguese, Vietnamese, Russian"
XD-AntiSpy,"XD-AntiSpy is a tweaking tool for Windows 11, derived from the xp-AntiSpy tool for Windows XP. It is a small application, less than 350 kilobytes, that can run without installation.",Free,Open Source ( MIT ),System Tweaker,International,Windows,English
Godlike host,"Delivers dependable Minecraft game server hosting with 24/7 uptime, instant setup, user-friendly control panel, easy mod and plugin management, robust DDoS protection, responsive technical support, multiple server configurations, and affordable transparent pricing.",Subscription,Proprietary,Minecraft Server,"Romania, EU",Online,"English, Spanish, Hungarian, Polish, Ukrainian, German, French, Swedish, Romanian"
Record Go,"Record Go: Screen Recorder is a user-friendly and practical application for screen capture. No matter whether it is to record tutorials, courses, demonstrations, meetings, games, film/TV series, or videos, Record Go: Screen Recorder could always save your time and offer great... Applicationsoftware reviews",Freemium (Pay once or Subscription),Proprietary,Screen Recorder,N/A,Mac,"English, Chinese, Dutch, French, German, Italian, Japanese, Korean, Portuguese, Russian, Spanish"
Proton Docs,"Docs in Proton Drive are end-to-end encrypted so your work stays safe from data breaches, online surveillance, and can never be fed into AI models.",Freemium (Subscription),Open Source ( GPL-3.0 ),"Word Processor, Team Collaboration Tool",Switzerland,Online,"English, Belarusian, Catalan; Valencian, Czech, Danish, Dutch, Finnish, French, Georgian, German, Greek, Hungarian, Indonesian, Italian, Japanese, Korean, Norwegian Bokmål, Polish, Portuguese, Romanian, Russian, Chinese, Slovak, Spanish, Swedish, Turkish, Ukrainian, ▾"
Lummi,"AI stock images that won't make you cringe. A collection of 20,000+ free images made by AI creators who are tired of boring, overused stock photos. Freeonline tools",Free,Proprietary,Stock Photo Service,United States,Online,English
Mojo Logo Reveals,"Bring static logos to life with our AI-powered tool. It includes animations like smoke, lightning, and more, all in your browser. Simply upload logos, choose AI presets, and export as videos. WebBrowsers",Freemium (Subscription),Proprietary,N/A,N/A,Online,English
Cool Stuff,"Visual bookmarking tool for saving links, articles, designs, music, and more with no ads, social features, or algorithms. Offers fast search, device sync, public or private sharing, browser extensions, privacy focus, and a simple, creative workflow for all users. WebBrowsers",Freemium,Proprietary,Bookmark Manager,United Kingdom,"Online, iPhone, Google Chrome",English
Scheduler - Calendar Widget,This app helps you focus on managing your schedule with essential features. MobileApps & Add-Ons,Freemium (Pay once or Subscription),Proprietary,Calendar App,South Korea,"Mac, iPhone, iPad","English, Korean"
Duck.ai,"Duck.ai is a feature that allows you to have private conversations with 3rd-party AI chat models, anonymized by DuckDuckGo. MachineLearning & Artificial Intelligence",Freemium (Subscription),Proprietary,"AI Chatbot, Large Language Model (LLM) Tool",United States,"Mac, Windows, Online, Android, iPhone, Android Tablet, iPad","English, Bulgarian, Croatian, Czech, Danish, Dutch, Estonian, Finnish, French, German, Greek, Hungarian, Italian, Latvian, Lithuanian, Norwegian Bokmål, Polish, Portuguese, Romanian, Russian, Slovak, Slovene, Spanish, Swedish, Turkish, ▾"
Reweb,Build at the speed of no-code. Export to code & customize. Host anywhere. A visual landing page builder that generates Next.js and Tailwind CSS code.,Subscription,Proprietary,Website Builder,N/A,Online,English
Dot - Living History,"AI companion with infinite long-term memory, secure private journaling, deep understanding of preferences, emotionally intelligent guidance, adaptive recommendations, confidential conversations, and continuous learning to support self-reflection and personal growth.",Freemium,Proprietary,"Journaling App, AI Chatbot",United States,"iPhone, iPad",English
Figma Slides,"The first presentation tool built for designers and their teammates. Backed by our design platform, Figma Slides makes it easier than ever for teams to co-create narratives, engage their audience, and craft impressive slide decks.",Freemium (Subscription),Proprietary,"Presentation Maker, Slideshow Maker",United States,"Mac, Windows, Online",English
Copyboard,Copyboard is a simple productivity tool to copy frequently-used text to your device pasteboard with just a single click.,Freemium,Proprietary,Clipboard Manager,N/A,"Mac, iPhone, iPad","English, Dutch, French, German"
Win11Debloat,"Lightweight PowerShell solution for Windows 10 and 11, removes bloatware and preinstalled apps, disables telemetry, blocks ads, controls AI features, customizes Start Menu, taskbar, and File Explorer. Enables dark mode, privacy controls, multi-user options, and profile-wide changes. Mobileapp discovery",Free,Open Source ( MIT ),"System Tweaker, Privacy Tool",United States,Windows,English
DockDoor,"Enables seamless window management on macOS with dock peeking by hovering over icons, intuitive alt-tab navigation using Ctrl+Tab, native integration, open-source code, modern SwiftUI interface, straightforward usage, and developer-friendly enhancements. MacOS",Free,Open Source,Window Manager,N/A,Mac,English
Tabulate,"Tabulate is a simple yet powerful tool designed for folks who know their field inside out but aren't data wizards. Think of it as your friendly data assistant. With Tabulate, you don't need to be a tech expert to work with data.",Subscription,Proprietary,N/A,N/A,"Online, Software as a Service (SaaS), Self-Hosted",English
Outer Wilds,An action-adventure video game that follows the player character as they explore a planetary system stuck in a 22-minute time loop that resets after the sun goes supernova and destroys the system.,Pay once,Proprietary,Exploration Game,United States,"Windows, Steam, Nintendo Switch, Xbox, Playstation, Epic Games Store","English, Spanish, Portuguese, Japanese, Chinese, Korean, Polish, Russian, Turkish, German, Italian, French"
LibreChat,"LibreChat is a free, open source AI chat platform. This Web UI offers vast customization, supporting numerous AI providers, services, and integrations. Serves all AI Conversations in one place with a familiar interface, innovative enhancements, for as many users as you need. Freeonline tools",Free,Open Source ( MIT ),"AI Chatbot, Large Language Model (LLM) Tool",United States,"Self-Hosted, Docker, Cloudron, npm",English
Spaces for macOS,Declutter & organize your workspace on macOS in one single click.,Pay once,Proprietary,"Application Launcher, Workspace Manager",N/A,Mac,English
GoMarble,"AI Agent integrating top ad channels, supporting creative and performance analysis, root cause detection, curated templates, automated reports, and prioritized actions for marketing teams, unifying data from sources like Meta, Google, Shopify, GA4, and more.",Subscription,Proprietary,N/A,India,"Online, Software as a Service (SaaS)",English
Chatbox AI,"Unleash the power of artificial intelligence right at your fingertips with Chatbox, the versatile client application seamlessly integrated across all major platforms – Windows, Mac, Linux, Web, and iOS. Applicationsoftware reviews",Freemium (Pay once or Subscription),Proprietary ( GPL-3.0 ),"AI Chatbot, AI Writing Tool",China,"Mac, Windows, Linux, Online, Android, iPhone, Android Tablet, iPad","English, Chinese"
Final Cut Camera,"With the Final Cut Camera app on iPhone or iPad, you can record professional videos with full control of your footage and connect to Final Cut Pro for iPad to capture multiple angles at once with Live Multicam. MobileApps & Add-Ons",Free,Proprietary,Camera App,United States,"iPhone, iPad","English, Chinese, French, German, Japanese, Korean, Spanish"
Amazon Bedrock,"Amazon Bedrock is a fully managed service that offers a choice of high-performing foundation models (FMs) from leading AI companies like AI21 Labs, Anthropic, Cohere, Meta, Mistral AI, Stability AI, and Amazon through a single API, along with a broad set of capabilities you need...",Paid,Proprietary,N/A,United States,"Software as a Service (SaaS), Online, Amazon Web Services",English
Loop - Window Management,"Loop is a macOS app that simplifies window management for you! You can effortlessly choose your window direction using a radial menu triggered by a simple key press, and customize it according to your preferences with personalized colors and settings. Mobileapp discovery",Free,Open Source ( GPL-3.0 ),Window Manager,N/A,Mac,English
